provider,name,stock,price,link
Ebay,Nintendo Switch Consola Tablet sólo V2 Con Garantí,1,"$4,228.64",https://www.ebay.com/itm/164710894021?epid=16029037217&_trkparms=ispr%3D1&hash=item265988c9c5:g:5owAAOSwDVBgLrdb&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSLY2M1Gjmuwt9c03vWNfiRnYWlxr6k880k49B1uxb3ZffzvQczu5XaiEnAUjWMWRixFFgPK3lv8YHpvzaGo2lCfBwRvJCIUYIF6oZ%252BdVSZXyPxVeKJmyz2DCg5BvjahYjzQNT0HkpraKkjRS8gZzCoTeCebbTNlfqtO1sfIulRvE9iALbrMoFNWyn9S82uFcyKHlMoaHFwham3z1n47guKLRE3C6kDEDTYQ%252FF1JUiSXNSmWdRx2d%252FtpL9KejNluMTQnCQEc5N9WtoyyRq7DE0nm8UvHUv1vfMHDk%252BKmi9h0DsPvN3guvOs2IEOyy%252BaPjHwDgDWspDNW6ZNNctUoMy8O%252Fyks2wfNI5a7YaQmDRVloZ%252Bf9qC5pnwB7kGAMl5wwPWjgOZvCqq4QgGsci7%252FON8a3s3VLvwOeSt%252BDvpiJWu%252B7kuFv1YolxlAhtoVgfW12yMZDjUbk%252FEK9vdsNnLI115Yokelx6IMRgwjq65Sz%252BDb9tK392VOu5eE4bsz2yufz3ZpH1xlwI3SIaLPhDytEt3gDK25WmXzCEzkZwpWL990%252FSL5dcZe%252B6nFt3jN6l1RsVj13IIvaCqz5PotiIATd7LsevRBNjVydpru5ZARsv5K7mL1OxnlfSCXW1SHUqg5AlrLsyBhvd%252B73J283UjMtLzexb%252BylcytJoLSwdmtFoaCwyF%252BpRtw7jrGhaiG6JXhTKMzF1BYk%252BJy%252BExoNK67MGAyodTXmRUO5hwFtwVobYzNeTRMIyTJtsQ%252FmCSg4wehZgraTrW2BCZ47zP4IgG3wZ3d1uGOnK%252BJ15CLPNbwRzq4q8q2Q1RT61KxEaihOhTY7X%7Campid%3APL_CLK%7Cclp%3A2334524
Ebay,Nintendo Switch (Rojo y Azul Joy-Con) y accesorios,1,"$5,839.63",https://www.ebay.com/itm/193174768018?epid=16029037217&_trkparms=ispr%3D1&hash=item2cfa1d0992:g:n8QAAOSwdepfKFw0&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSd3M8ngECaRA0SmyU4KT%252Fnl4cpJzFEW7ilpPxVeLF9LbOmfm%252BKlucFUMvCumBDx5UHYUyLJBm7WO9vp3o1mpbyU3PD2j21zzHJ1uy5a8rWleQP%252BABYMBytKiQDtwkZnfPXw8E6U0qsQXUoEV9tbwAuWeRO3mWTc233eWMsvDxOi%252BmuXfpOYQx4tMOxMHwFD5IshDpev1Y7%252FxxU9xV5bNUY6BO23eVuGBiP5%252FgF6kp4OegloNABl3YE1Ax%252F3Z5P8eohSVK0lfMujwEXQjI4QeruCvjbI%252B1ILs0aTQ54hDYD1%252BuiXoJsU8K5eOTJyKJFJ3qHuOy21YJSnGr4DXy3el8GzoNawRDZhoy1QtBYEh1P%252BiHjU7gob6V4ZBhcdat2BVHW8upSwkmhcBzyPe6iLEFiXq8LxYeUr4%252F6jVBZVjixEhECN%252B6vcQHA8BYA%252FZov5LyXGq3KSzrECYDfsP0M9%252FN9P7e2ypNAH20jRrtxk585gI%252FWdCvRpaPXSyCcC2KmMHmKS9Yi19QbUYkL196STiULeTgVvYoSPWMMCLmwb4B5lXKyIlkXK9IcfH0bkTFXvIPVUatNBistPhmq4VqfMfN6l22hMIJbZEmGnwJz7iI%252BBmi5Nm4iKobLYlhkhq4ir5Msc0SmHPZKpRjOjNRwdCGOUtaqsZtWt4ZbgSTVuhbWPo19hjc3yPjcJuRlSk3E8jOo8b7mrg5bh%252BFoY8k0t9w04b%252Bx4hI2UP%252F%252FmOl3dktO8MxpzAB%252FoP0zCkWYH2vl9b4%252BrbIB5hJLLz0%252Fqk0b60idckj7NNRG%252FPgO2WbDZIWdGYxkVGCKoGmfxIg%252F1NNMQCU%7Campid%3APL_CLK%7Cclp%3A2334524
Ebay,Nintendo Switch Consola Crossing Fortnite Mario Ka,1,"$7,148.55 a $7,349.93",https://www.ebay.com/itm/154555601628?epid=28045277354&hash=item23fc3b52dc:g:zYoAAOSwhnlhCWRv
Ebay,Sólo para 32 GB Nintendo Switch Neón Rosa/Verde Ne,1,"$4,329.33",https://www.ebay.com/itm/393479023263?_trkparms=ispr%3D1&hash=item5b9d2d6a9f:g:W20AAOSwbiRhB651&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSU8qUIAeVPdz29zRlje3Lg84jacbIynvM6T5YlrScfT3vyBU2sZ92BIxzxfIubdA0R18P6W5VETCdE7JJ0hwuJiO4Ls5LTiOAZQ5AizgcONXXijLpyzucXiy9hdkbC3M1tmDGOi1MZ5VgrUIZGaKpr3Q7vzS50FS0V9Yuj9BVOiX11Rc5YMsLubSZXdBd6E3f55C%252FHqfUju08tc5G%252FEGs1JiEojnPmll96e%252FeT%252BDRaphVhG31mwH1Cgk3MS1H%252BaNRhjcURbBQaJ%252FF5vL1m5f4%252BZm7Fr0DlA636dDdIww26sBg7epaiclEiq4R4bj0JV3LmnvHwdohV5b2PigtPjUfwUS7VJALacB39lppfJNXAY%252F5zltyUy5FhmyFbJVmSMvKd%252BzMj3fw4dFPb3PeYnYA7LGiaT5HHNykBB6YP5VgFUSPwkbDaZc8MmvKNNYD8ACGpJsmfW4VmmlhI%252BzjVqrlDqjcdOcGG8j4prZJgGfx69ih5wa3gcOn1stW5nbhMNcEBqaz9t2Zjs%252BpW79wKpGFVk5IR81INKRTB%252FklE1l9LI%252FqMb6UXuNUOdByL9HtCqDmgTVxYW93CtzLLBbb07zLC8YIiOUzVZPJOXZB6U4wIMDh%252Bv9fw7SoPsy41dQ9Yby%252Fy0rxEu9jhlvTEGBhHaJrM9KmdTMx6CLZxeSQzs4IbLFJ4iPqb3JdyoR355WLKbri1cSnCm6ZqX4hx7w%252FVFlUTT4EkEmL9uZutEfz6XKzTwvEAQFRKqD1Z2MoindVnGay0xwHk4wXY4B9C%252BluoMIG0nl5eSyptrzFXP3dbQqtRJuxku47UdKlhN%252FKSU3m6xMs%7Campid%3APL_CLK%7Cclp%3A2334524
Ebay,Nintendo Switch-HAC-001 (-01) - SOLO CONSOLA TABLE,1,"$2,577.58",https://www.ebay.com/itm/324746718755?epid=21043432595&hash=item4b9c69ae23:g:7zcAAOSwrKNhEbH-
Ebay,Nintendo Switch CON ATMOSPHERE modificata SD 128GB,1,"$9,439.74",https://www.ebay.com/itm/154564732078?hash=item23fcc6a4ae:g:1IkAAOSwJeBgUlw6
Ebay,Nintendo Switch 32GB Rojo/Azul Neón De Neón Consol,1,"$4,524.66",https://www.ebay.com/itm/203556212224?epid=16029037217&hash=item2f64e54e00:g:a3wAAOSwWvRhEyMI
Ebay,Nintendo Switch 32GB Neón Rojo/Azul Neón Consola C,1,"$6,544.63",https://www.ebay.com/itm/203555955079?epid=16029037217&hash=item2f64e16187:g:8m4AAOSwYW9gh1m2
Ebay,Leer Descripción! Crossing Nintendo Switch Consola,1,"$3,925.77",https://www.ebay.com/itm/383830366015?epid=4037037457&hash=item595e12973f:g:0gQAAOSwwiFfwBzT
Ebay,Nintendo Switch sin parche V1 XAW700119 128gb HAC-,1,"$4,077.81",https://www.ebay.com/itm/124848041296?hash=item1d1185ed50:g:X5cAAOSwpSlgLwI8
